rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.412,0.51,0.412,0.51,4049021,72957,154.33,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
0,0.42,0.508,0.414,0.508,4049028,72966,155.19,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
1,0.412,0.51,0.412,0.51,4049021,72992,154.25,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
1,0.41,0.51,0.412,0.51,4049018,72981,153.02,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
2,0.406,0.51,0.408,0.51,4049018,72982,154.68,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
2,0.412,0.51,0.406,0.51,4049021,72983,153.33,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
3,0.404,0.51,0.408,0.51,4049039,72992,154.38,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
3,0.408,0.508,0.41,0.508,4049022,73006,152.96,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
4,0.404,0.51,0.408,0.51,4049021,72967,154.66,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
4,0.398,0.51,0.404,0.51,4049018,72951,153.28,keyword,1.0,PIA,0,mistral7b,triviaqa_allrel_perturb,500
